,City_From,City_To,Price,Date_To,Date_Back,Night,Link
0,Budapest,Paris,EUR: 57,2024-01-23T06:15:00,2024-01-25T08:45:00,2,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2100004965382c_0%7C1cb20b774d230000b793a0ad_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GTTne_UWA_X2K4YHBcC3uypckHaQ_tL1_WPv7GQbeF8KsvpM979zlS-F6d_sRXI7LHlOgPFiMIkiOfzMzUCtxec5zGNGGsO0OkYvOVQNV8JhROeTCK4Rh714KTMmfh5Z4-6nuaJms8Scbd8fumzu3LgV2_O4Sv1belSPlbjyAkVo64QV-3vjCpr0dwO-Jnz4b2ghZeM2PjXtmzzQSAFsz847fyUPx6NshrhJOyXbfIdoKJOaa74dUfddVTomP1WwS5qCANVZTPs_5ubtOnIxcERmUZVBGqqdPRpksfqUCSZ5yApU_BbexmjAPDpq-3ELVdtVMGQ3og_NFzxFGXclrj-hUSukTl05WZKAdWY2ENHQkjJGK_x0YFmC3jxX8b00cicI9N48hqIpDyO_mREo2kjLO2JZb6pVoPAVyNeD0VER1d4YqtmAdUou9bcbcm5PmIIpjBD3idzd69N-mv5ibEgVyjbRdB-8zm7cjOl9MszwmjLoUGrVSv4W7wS_wnM9xg8NYmxrTKxYCRCE3ytJtkVYejkI-G8K-A5iFK1GJiWcvXnIRm3Aqv9Jwx8ub2d_k
1,Budapest,Paris,EUR: 59,2024-01-30T06:15:00,2024-02-01T08:45:00,2,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2800009de8820e_0%7C1cb20b774d2a0000003b3d93_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GPrRmPJ2MJZXpeaRix6PPn5QKE4xtFjumTswlFSdFRoa9oZCdVhIxPvNZ_q6Z5fY8oX26E7u0NLaLgzRk2e8WDwDc5m47eWx6DQW_n6mNIEakl_pIRNGm71noY5Vj44fmJGFsJmwuigYECSpHuU24pmDNKQP4O3FopBi06Wm4p1UnDPIfS446ZQ-h4-dtgeBSL2-qNbXnn4n0N06Gr89KTL5as-rP1NASDD7Tdl6cKLGsf3L3msoLoCF943sBLLviDxR69ZWx-vhIHux2phNNCh3uvI2HFBCLwXWyIGibXkYSxa-nyw8huZSoe0jnhFvsjUiDjn6KEM6KFGNSu_3N1krRhcHdeCfJ4adX4NZYtPGTWhLZoQOZY9IhLgc8kXJcsrxVzdfDqXiNehrsesVqXRDizroLAuOJ4RkA12RxE56kRQuyJxxLw2PoNp9ksWfuTw_-5fIFmpWRXQ9wC76uS0SCNIz8fszu1j9L36KC2pFeLUYeDsddMzD6YZOnH1infMaxqzRVVhOq4whAzdOOf-UU1l7tOxlwnhZ9iuedpDd9k8jHjHz6fDK3nMm4P8-I
2,Budapest,Paris,EUR: 59,2024-02-18T05:00:00,2024-02-18T17:00:00,4,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b7723334d3b0000431a39bc_0%7C23331cb24d3b000090a359ee_0%7C0a7c0b774d3f0000da803df3_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=G009H9CKivnNNNAQv2O-IJA0scDPmVHom_nRhpiIgX5FmVRFMfaP0dDUMKri_EohPCDLtN_7RLJWTWVmus2SniVLr7ztgWYOjYfCgr2UNqPv5QE0WRsZQ4o1FhM5hkZMtidBar6uEH7zRBjixVFww3nYpoe_XSqu1r6nMMLH8G75kaUEURCChAIwNnhknv7EglOLT0LaVt7zRRRoeL8O01oOBnCYUirmBRtnyk6ifeGsm7WoPKsoFxlDFADVQJ3UC98WAQfg7hobnxMFZkyfCiia_ZVl5LURLwdz1NPKdwyHxrc0zOr481-CRVn57p5OHdVoaWXYsyubv75iYxD1aTwKzQVcnZRx6QA602LWFyhUIy-oupvqur0QyGM787PQXUCN61ygcBfUhGst9pfXtK1UwqDei-D-0jUj-O7_5LAi1b4x4siAQFtkA1MQ6FBPdYDJcs9YqK9QRadimikRPU8cVrovJmSZsOgXeh1SOqzOrirmMYpEV9RmdjDSOTCb_--brRjqSsjO6eHELFjZwu2boZaSN2rhQR9EilNWDeEhTRxUFCMTD_R3Osei7OsJRclYmhED8Z0kJ0K1IHrnf7uqbVmorlmggiLBYkdVJPUgw2CKR_1fHeBJ16KkCfuUSb3zzaBijRn5L9Sx0JdKxnWuNPZ2XP4z3HC9zPD7rCRY=
3,Budapest,Paris,EUR: 59,2024-01-28T05:00:00,2024-01-28T17:00:00,3,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b7723334d26000074fa1429_0%7C23331cb24d260000a743747b_0%7C0a7c0b774d290000afe282c9_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=Gj54Eh7Gq7vinjddm1N2ay0RJiiqYvN8Du_6ygt-0Y39e1F-i8YUzB1K3906P9EgEAU93UwSmLJH0Z-yC0tjBTlhn5zJVch_unSvs3hU0bytNlm34jM6petIeExNOsmoBA4Xft-hMpus4jQmXXKXrDOKAPtwyfoVJ8f6_jBwwbdpJrEKubJ62IjFk07PJqsN2ev0aNN_Q-S92kUVsuuCysKGuhpBE9oP3sycAWXAkvlF5fwAqKudiA62DVsExmnohHiD3Fz4lMrffmwat2570pSDCUZhnk3QNH6CNCtVabAU01oCak7Tp1hfJkjD62APni5U4Bc-rFd1Lp0jCIq5Wu5HM3Y8m1sLDJnUipYZdY2vQ3KFgEGAQxjUAJRqyQQQs-j79Mx-SWwzT8eZN37EAFsIrNBgrlRYLgTH_JSLT4Mz4UXsTfZ0lv1WW0EMMmYMADneP3F-Tp7RYez7zfcioILp4sXE2CA4BY3R25pLEZ6dZt6e2l0ErMlJ-t0htdFJT_3_7C2_ddTVo5ZWcTw1PlMOTAkdToRy781A5tT4iBcuwacUXrotk0pLazG_Vz6aL5W_dTVxUAYNp8IZDmENnAlNsCpF49GZFXqxNJ36zslKOoNAHZKtwcO7ugPz0J2r69K6wGtM-u09aHlHPljMdECdIdIaSzt1SordTjk3iRkzbsoPhmjXONsWJDJgNzHyX
4,Budapest,Paris,EUR: 61,2024-01-27T07:15:00,2024-02-01T08:45:00,5,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2500007ab23e7b_0%7C1cb20b774d2a0000003b3d93_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GEGbT7OPz_ECjDVwrKv8aLlVvDNdKf_NsLQ7CJAsRERl_DBzJYFe77pDKgDcUt8Cd_KSWWPHU5436xXEuo8-fFZSxiBwop_DD_yK3__QEBv6zY5aqUCZFJ0EHhD8RxzWI-VHzi_KJdIa6gZUpWA1EgRTsINrEMeoXl2a3NT3u7NL2I101hvI5DrnE1k4Ux-V0KXxDu0nHl92h9A7ZCcmjmArcgWfhT4PKTQJArYU8CCjXbBaZSNKbQbt0OH3Iy_F_HFpmCzgL2UXKLV-tdDyyz2Im2xsjSVqvQ8frhyCQBroDMBm7lB1uQZ5qY2Sq2c_y9NWlCVX5dMGnNY3BspBK-Rk5xf-FO9IfmrBwvUNGh9p9REaZBXoi0w4tyYWsd2NSW9PUDOtvUGsmOPwlzn2K2-p2WN1-1-xaajzgsP7YoQwoByFevfHGj-IUbEUF5iXnIH56mbLKv7R2BsYL3FPzSUOirulk8DSebCh8ORT5GRAOh3Y82n4JLdSwso1oApWmK0XJ1ixlI-ADfrxeWhw5NFl4nf0yJdN-BrO-yROZAcayFK3sN68mPrhpw5VvadcNfHoO9jwImu3HM_jPObW9Uw==
5,Budapest,Paris,EUR: 62,2024-01-27T07:15:00,2024-01-31T17:35:00,4,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2500007ab23e7b_0%7C1cb20b774d2900004c097483_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GWYIXZMi-29K9LU8SZSfPVGS6qFgbrYHxW9Q_DU_l8k8HMuF9b-m6eZZfk9v0IFS40-Ie6Diw_hslj670NVZMmuTUPct336_Rw2250aeE_SOoAlcDpiDvuftoZm2VDLauOEtFravDqbQWXiQ619NZMqvG21_59wRnodV5UNzsrnX57dIfZBuk18talkyYo2Wp95-wKsMjkWj8NJU37LJiEA4Onw60_Oet7hx-b1OmCHc0YmDf3LgKBHVz95vKpFfXAZZh894rHxZ2NSrH2rlBoLb8HH658USyCXhrbJNI5Khazpu8ArnvHyW-SsT2XdSEwPOMTyxm9TJuQ13yIrFlNCTh1Axkfu0yWbk5etyGHsltnLNUDH65ypTbMdtOiZaw83ZVV3DYMPtb_F1eje2t10ImUtb0jEoco9sfknPOIS9P__F9KOE_Mk8ITAU1hlbMlm-q3cn-QR3uEZ8fSRLJDG64taEeeWeJL6dsmLq6aYu28wKVhKmnuCfwNx7FNl5inTuef75GccaODTP4skscQAGnx13wjuALobLyKi0xepFhAXeEBEJUYkzupZfCsBGNKrvpbUUj41E_FRescNbAQQr8ChXoBXPRn3HSf6d9gVg=
6,Budapest,Paris,EUR: 62,2024-01-28T05:00:00,2024-01-28T17:00:00,4,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b7723334d26000074fa1429_0%7C23331cb24d260000a743747b_0%7C1cb20b774d2a0000003b3d93_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=Go2Qs5ZV-pYSkeFFcWzoDeXucdUMeKk_74gHEBmlgYba1OHzfj_EZJ64y_cae7eEh1YMv79-RvvLqoG4tUM3Qd4xuKs3wBnqmyOtAr_wwnoEpeBAjoUO-w1jLGGcyqHFjpGx_Mwz0_4MwKumeowbtR-ULfFKgjJTxWAe2Xy_QTyuekrWadVKyhdAMehbmSYnm5zZ6mpxpp7U7IRJuk41SZ3ATBmBj_2MVawy6jjdB0ON_ONb5hXbihKrW8gRK8xSoPVIeR0Wp0xDzQgAfxqP-pijkPu1jv1OYUItb5on0irPap7peDtM3VVbGO92zXJ-QNQsuAb8o8KMiRqK3SRZaMEeiEXM5P4z9ndZtthWyhYN7soNSing_3msD4IL8rd15w10GqZeoFQTOvz24w3F2GcCUi4ZTitwCM70QWzWYWELF6EVXgZbgESkEN3oxcnQDWUNezIkHZb4XZh1YCxkoyWCPw1HQmF6aYyViKfososuEKJuKpIziesuRTlOkTuPBPKu72-LAu7u7EjTWWv_5lne2NklGqPM9hiIrWgi70sJG4yXVslHYzvnibrscNTe-Iii787caxT3PA_9Z3gKmo2ANYcm4kdKVCZtTwpFRcD-0ObH1aXhmv-448tFoD5rPx1KmZh-C2N0bktGDLgkqqA==
7,Budapest,Paris,EUR: 63,2024-01-27T07:15:00,2024-01-31T13:05:00,4,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2500007ab23e7b_0%7C0a7c0b774d290000afe282c9_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=G-jcaNSS6jxx815E-FVRx2NgD9z1jh5qDrYfpqglTd2-fYc8roohSRAV15lDY_iCen9Ig7hoEh83lfFSVTkKzC6gMwoIhCZYoisFpprt4PHzNxGR2goZZbgIydWXAok4pr1aUJLXE6wbQtcGvUV5NDENPIvfepL0gMWScrRXtHrgc7KQLPAHcvQ2fQ_4jpxaYGIc8t31phR6zPUJuOi-dgn5XIzbssxIAeFPEtTejHExdE5Sk6cld_JIc_v7KDcZ6HV6URrfK5wyUKShSWAzYL9NPXyr4_xhq9522_QZKcEHa0xRXkUF42Ke3Kh3jSb_FoPOoQ0UzTcwIMdCxG5r7zxGx7MXySxBfPSfkRb-QZL5oj0jmZcWzPJC4GSlOVw1B0HRC6VUQRtyWfdNztAM685tb53K9kbh0T06MoX1S8BcBIpapZla16qX9b613SOnKwpsD6dFbyyuxtMjYrnVFUTbwT-irRKP2gN98tmeWpVcKUfS7AQDjkWMdW6y2JaGHE62oWC04-86w0sug8UL9RhWl5drf6b4ITbUQP7vDdYUxD2l82h_EGL3fVvDYi_I1rsSo_iwKD0vPfrWL9EYTfNP-ZVT1uO0_Ue2Ezl_BvE0=
8,Budapest,Paris,EUR: 63,2024-02-01T05:55:00,2024-02-06T09:00:00,5,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2a00005f58ff37_0%7C1cb20b774d2f0000b6ea283a_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GPTMcKLYU7ISZfCz7yDmrGOun--ZVFccL_s_vFob-c1cgUb9T_OvnKNb2NtUE3p8b0zcXCBQb1k35s4JSVYcN7YQCh37GgZOsFl6TTw9rGNhYCbJJvp7qKOmGJz_LViAOXpsZPMdy-3XX4POQB8C2LMkxAH72uv1m6-up57fm4JhGJjxqLM9pRkMK3jOZiTNEf9Rp8iNHG60Z70-ZqVMwb7DHY0V_yi50gUoSOgWplfyLKlYt9N4uPidFrtrSwX9AWOx8UezAYjH_2go5dYXpWfGjC1-QOD1VtzHJTX5MCS-xL-QZD_PvtmfAjJmcq0Ef54Kp56ZPgPEOBExMzdEFkJcZQTIT5x5hgUKZibeDt0-WkNL_L-dLK9pat_urjk6x5Bvf7IpVirmpgYTtZMLnUIsU3LIbLtx7TKUjIQ4tAe9TNcJ0ZklQKu95holnLlotPG3RCl5kZeX9E1vEv0I9zPvGUY1XI5QT0bGJmqGWsvVzXwPnGRAaASvH-7f_kpOHi0pPJj7croeJ_Mcw5w2WNoGpFyFjNFmOOBS9GL8nj8wDHMyonmH1eKUPl5K66X-UG3rhixYGLKDi9YLL7qTUTA==
9,Budapest,Paris,EUR: 63,2024-02-28T13:20:00,2024-02-29T12:30:00,5,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b7723334d4500006bf94f41_0%7C23331cb24d46000027977db6_0%7C1cb20b774d4b0000f33abe64_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GRZeqi5iX96iOpPxI3_yTD2W0C3tRe-nVkORc-3X956BQVrA3DSItu_12Czzd03AbfLwDQ0Ej17R-EMgn3Y6-63hk3b45U4NYNu6VT_t2Lo6i2LByycLE6Xid3lEY-Bp6AVzigmTf2Q_PFuCr0gfnVqaAoFWrF2Gka_x5wM2YY-PM1nVpMGCYFFkF1KxL0FSLLJPHUDuSGrzJevifbltpocnNo_kKKtKooATBhF_eU_ixq-Xe8cBq24V_S1PkNUZzDKYMwutXjKB3hZDE2Q-Bc-rkUYvX-jWzyRyS8zsBC7-ZQeHMuyx05izqCawpKeQEVH620jPdm0juVk4xjofuX_6ra8HWD8bU5wVsaBOsVq3hrrxyHwL8R98iqV5cadjaU-T56_LerVzS3dX1wb4AOGOOSBpFHDZUMprhxDCWsDwMn-V_mUI0m0GmDBPTzUQGrHEzKzHZ-YHyl1bRxEaxIIU5u8qJjjR6b9iXCZjW11NqkQuBS5kySSQ6U_n6thWgIk4qMbrBFx5iDb1BMF6NoYKBZnosikWEhESqWArvraKeHn6894Hs6giiRKdJrdng3wokoreMoNvyJqIAltHa8ytgzAODu_IuyeEHy2qibokgWPW8pi5W6snjsImtpsCeHTkbptpc6nLUmShgaPF9ZUrmQGCHMwQXere4g9WvMvc=
